Name,Base Score,Base Severity,CVSS Vector,Exploitability Score,Impact Score,Source,Vendor,Link
CVE-2023-37450,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-37450
CVE-2023-36884,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36884
CVE-2023-36874,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36874
CVE-2023-36851,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.9,1.4,nvd@nist.gov,Juniper,https://www.cvedetails.com/cve/CVE-2023-36851
CVE-2023-36847,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.9,1.4,sirt@juniper.net,Juniper,https://www.cvedetails.com/cve/CVE-2023-36847
CVE-2023-36846,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.9,1.4,sirt@juniper.net,Juniper,https://www.cvedetails.com/cve/CVE-2023-36846
CVE-2023-36845,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,sirt@juniper.net,Juniper,https://www.cvedetails.com/cve/CVE-2023-36845
CVE-2023-36844,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.9,1.4,nvd@nist.gov,Juniper,https://www.cvedetails.com/cve/CVE-2023-36844
CVE-2023-36802,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36802
CVE-2023-36761,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.9,1.4,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36761
CVE-2023-36584,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,2.8,2.5,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36584
CVE-2023-36563,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2.8,3.6,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36563
CVE-2023-36036,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36036
CVE-2023-36033,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36033
CVE-2023-36025,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-36025
CVE-2023-35674,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Google,https://www.cvedetails.com/cve/CVE-2023-35674
CVE-2023-35311,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-35311
CVE-2023-35081,7.2,HIGH,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,1.2,5.9,support@hackerone.com,Ivanti,https://www.cvedetails.com/cve/CVE-2023-35081
CVE-2023-35078,10.0,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.9,6.0,support@hackerone.com,Ivanti,https://www.cvedetails.com/cve/CVE-2023-35078
CVE-2023-34362,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Progress,https://www.cvedetails.com/cve/CVE-2023-34362
CVE-2023-33246,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Apache,https://www.cvedetails.com/cve/CVE-2023-33246
CVE-2023-33107,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Qualcomm,https://www.cvedetails.com/cve/CVE-2023-33107
CVE-2023-33106,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Qualcomm,https://www.cvedetails.com/cve/CVE-2023-33106
CVE-2023-33063,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Qualcomm,https://www.cvedetails.com/cve/CVE-2023-33063
CVE-2023-33010,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Zyxel,https://www.cvedetails.com/cve/CVE-2023-33010
CVE-2023-33009,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Zyxel,https://www.cvedetails.com/cve/CVE-2023-33009
CVE-2023-32439,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-32439
CVE-2023-32435,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-32435
CVE-2023-32434,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-32434
CVE-2023-32409,8.6,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N,3.9,4.0,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-32409
CVE-2023-32373,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Redhat,https://www.cvedetails.com/cve/CVE-2023-32373
CVE-2023-32315,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,nvd@nist.gov,Igniterealtime,https://www.cvedetails.com/cve/CVE-2023-32315
CVE-2023-32049,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-32049
CVE-2023-32046,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-32046
CVE-2023-29552,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.9,3.6,nvd@nist.gov,Suse,https://www.cvedetails.com/cve/CVE-2023-29552
CVE-2023-29492,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Novisurvey,https://www.cvedetails.com/cve/CVE-2023-29492
CVE-2023-29336,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-29336
CVE-2023-29298,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,nvd@nist.gov,Adobe,https://www.cvedetails.com/cve/CVE-2023-29298
CVE-2023-28771,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Zyxel,https://www.cvedetails.com/cve/CVE-2023-28771
CVE-2023-28434,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Minio,https://www.cvedetails.com/cve/CVE-2023-28434
CVE-2023-28432,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,nvd@nist.gov,Minio,https://www.cvedetails.com/cve/CVE-2023-28432
CVE-2023-28252,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-28252
CVE-2023-28229,7.0,HIGH,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,1.0,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-28229
CVE-2023-28206,8.6,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,1.8,6.0,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-28206
CVE-2023-28205,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-28205
CVE-2023-28204,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2.8,3.6,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-28204
CVE-2023-27997,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Fortinet,https://www.cvedetails.com/cve/CVE-2023-27997
CVE-2023-27992,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,security@zyxel.com.tw,Zyxel,https://www.cvedetails.com/cve/CVE-2023-27992
CVE-2023-27532,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,nvd@nist.gov,Veeam,https://www.cvedetails.com/cve/CVE-2023-27532
CVE-2023-27350,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,zdi-disclosures@trendmicro.com,Papercut,https://www.cvedetails.com/cve/CVE-2023-27350
CVE-2023-26369,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,psirt@adobe.com,Adobe,https://www.cvedetails.com/cve/CVE-2023-26369
CVE-2023-26360,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Adobe,https://www.cvedetails.com/cve/CVE-2023-26360
CVE-2023-26359,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,psirt@adobe.com,Adobe,https://www.cvedetails.com/cve/CVE-2023-26359
CVE-2023-26083,3.3,LOW,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,1.8,1.4,nvd@nist.gov,ARM,https://www.cvedetails.com/cve/CVE-2023-26083
CVE-2023-25717,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Ruckuswireless,https://www.cvedetails.com/cve/CVE-2023-25717
CVE-2023-24880,4.4,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,1.8,2.5,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-24880
CVE-2023-24489,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Citrix,https://www.cvedetails.com/cve/CVE-2023-24489
CVE-2023-23529,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-23529
CVE-2023-23397,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-23397
CVE-2023-23376,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-23376
CVE-2023-22952,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Sugarcrm,https://www.cvedetails.com/cve/CVE-2023-22952
CVE-2023-22518,10.0,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.9,6.0,security@atlassian.com,Atlassian,https://www.cvedetails.com/cve/CVE-2023-22518
CVE-2023-22515,10.0,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.9,6.0,security@atlassian.com,Atlassian,https://www.cvedetails.com/cve/CVE-2023-22515
CVE-2023-21839,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,secalert_us@oracle.com,Oracle,https://www.cvedetails.com/cve/CVE-2023-21839
CVE-2023-21823,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-21823
CVE-2023-21715,7.3,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,1.3,5.9,nvd@nist.gov,Microsoft,https://www.cvedetails.com/cve/CVE-2023-21715
CVE-2023-21674,8.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2.0,6.0,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-21674
CVE-2023-21608,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,psirt@adobe.com,Adobe,https://www.cvedetails.com/cve/CVE-2023-21608
CVE-2023-21492,4.4,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,0.8,3.6,mobile.security@samsung.com,Samsung,https://www.cvedetails.com/cve/CVE-2023-21492
CVE-2023-20963,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Google,https://www.cvedetails.com/cve/CVE-2023-20963
CVE-2023-20887,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Vmware,https://www.cvedetails.com/cve/CVE-2023-20887
CVE-2023-20867,3.9,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:L/I:L/A:N,0.8,2.7,nvd@nist.gov,Vmware,https://www.cvedetails.com/cve/CVE-2023-20867
CVE-2023-20273,7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,1.2,5.9,nvd@nist.gov,Cisco,https://www.cvedetails.com/cve/CVE-2023-20273
CVE-2023-20269,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,3.9,5.2,nvd@nist.gov,Cisco,https://www.cvedetails.com/cve/CVE-2023-20269
CVE-2023-20198,10.0,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.9,6.0,nvd@nist.gov,Cisco,https://www.cvedetails.com/cve/CVE-2023-20198
CVE-2023-20109,6.6,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,0.7,5.9,nvd@nist.gov,Cisco,https://www.cvedetails.com/cve/CVE-2023-20109
CVE-2023-6448,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,9119a7d8-5eab-497f-8521-727c672e3725,Unitronics,https://www.cvedetails.com/cve/CVE-2023-6448
CVE-2023-6345,9.6,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,2.8,6.0,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-6345
CVE-2023-5631,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,2.3,2.7,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-5631
CVE-2023-5217,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-5217
CVE-2023-4966,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,nvd@nist.gov,Citrix,https://www.cvedetails.com/cve/CVE-2023-4966
CVE-2023-4911,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Redhat,https://www.cvedetails.com/cve/CVE-2023-4911
CVE-2023-4863,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-4863
CVE-2023-4211,5.5,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,1.8,3.6,nvd@nist.gov,ARM,https://www.cvedetails.com/cve/CVE-2023-4211
CVE-2023-3519,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Citrix,https://www.cvedetails.com/cve/CVE-2023-3519
CVE-2023-3079,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-3079
CVE-2023-2868,9.4,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,3.9,5.5,cve-coordination@google.com,Barracuda,https://www.cvedetails.com/cve/CVE-2023-2868
CVE-2023-2136,9.6,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,2.8,6.0,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-2136
CVE-2023-2033,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-2033
CVE-2023-1671,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Sophos,https://www.cvedetails.com/cve/CVE-2023-1671
CVE-2023-1389,8.8,HIGH,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,None,https://www.cvedetails.com/cve/CVE-2023-1389
CVE-2023-0669,7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,1.2,5.9,nvd@nist.gov,Fortra,https://www.cvedetails.com/cve/CVE-2023-0669
CVE-2023-0266,7.9,HIGH,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:C/C:L/I:H/A:H,1.3,6.0,cve-coordination@google.com,Linux,https://www.cvedetails.com/cve/CVE-2023-0266
CVE-2022-47986,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,IBM,https://www.cvedetails.com/cve/CVE-2022-47986
CVE-2022-47966,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Zohocorp,https://www.cvedetails.com/cve/CVE-2022-47966
